time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
11.896000,-0.156134,-0.022746,-0.125721,0.201744,-0.226749,0.185550,0.120165,nan,-856.346680,nan,-nan
12.029000,-0.063354,0.026936,-0.116742,0.135528,-0.020752,-0.020447,0.181201,nan,-856.346680,nan,-nan
12.163000,-0.092684,-0.078414,-0.037131,0.126956,0.101320,-0.066224,0.051499,-inf,-856.227173,-inf,inf
12.297000,-0.163317,0.016760,-0.094594,0.189477,-0.135195,0.048218,0.020981,-inf,-856.286865,-inf,inf
12.431000,-0.017263,0.048485,-0.120333,0.130878,0.078431,-0.066224,0.028611,nan,-856.346680,nan,-nan
12.656000,-0.109444,-0.028133,-0.062870,0.129314,-0.272526,0.177920,0.288014,nan,-856.346680,nan,-nan
12.790000,-0.080114,0.027535,-0.095792,0.127877,0.154726,-0.134890,-0.070573,-inf,-856.167419,-inf,inf
12.924000,-0.119022,-0.168201,-0.016779,0.206735,-0.104677,0.208438,0.295644,-inf,-854.853149,-inf,inf
13.058000,-0.027439,0.120913,-0.162833,0.204664,-0.112306,0.078736,0.013352,-inf,-855.032349,-inf,inf
13.192000,-0.136381,-0.065245,-0.055687,0.161114,0.238651,-0.203555,-0.093461,-inf,-855.390808,-inf,inf
13.326000,-0.048389,-0.053274,-0.050299,0.087805,-0.135195,0.017700,-0.055314,-inf,-855.809021,-inf,inf
13.551000,-0.128000,-0.077217,-0.049102,0.157345,0.116579,0.002441,0.043870,-inf,-855.689453,-inf,inf
13.685000,-0.090888,0.016760,-0.056285,0.108211,-0.066529,-0.066224,0.051499,-inf,-854.494629,-inf,inf
13.819000,0.021645,-0.086794,-0.085017,0.123408,0.147097,0.109255,-0.093461,nan,-856.346680,nan,-nan
13.953000,-0.000503,-0.000599,-0.079630,0.079634,-0.112306,0.185550,0.188830,nan,-856.346680,nan,-nan
14.086000,-0.027439,-0.014366,-0.058680,0.066352,0.040284,-0.028077,0.020981,-inf,-855.211609,-inf,inf
